time_acc_rf_gr_feature_selection;time_acc_rf_r_feature_selection;time_acc_rf_gr_r_feature_selection;time_acc_gnb_gr;time_acc_gnb_gr_r;time_acc_gnb_r;time_acc_knn_gr;time_acc_knn_gr_r;time_acc_knn_r;time_acc_mlp_gr;time_acc_mlp_gr_r;time_acc_mlp_r;time_acc_svc_gr;time_acc_svc_gr_r;time_acc_svc_r
2.56;3.48;3.284;0.043;0.045;0.046;0.255;0.256;0.252;7.309;6.55;6.442;0.41;0.416;0.445
2.538;3.413;3.264;0.043;0.046;0.044;0.251;0.262;0.259;7.071;6.698;6.709;0.389;0.419;0.44
2.518;3.409;3.257;0.042;0.043;0.043;0.257;0.256;0.252;6.716;6.464;6.422;0.387;0.415;0.44
2.528;3.418;3.262;0.044;0.043;0.044;0.253;0.257;0.253;6.73;6.4;6.512;0.385;0.414;0.441
2.545;3.433;3.291;0.046;0.044;0.044;0.262;0.256;0.25;6.721;6.666;6.427;0.385;0.415;0.439
2.523;3.41;3.256;0.043;0.043;0.043;0.251;0.253;0.254;7.041;6.452;6.676;0.396;0.419;0.448
2.523;3.412;3.253;0.043;0.043;0.043;0.25;0.257;0.253;6.746;6.417;6.441;0.385;0.414;0.439
2.519;3.412;3.27;0.043;0.043;0.043;0.254;0.256;0.253;6.707;6.428;6.401;0.385;0.414;0.439
2.556;3.44;3.288;0.043;0.043;0.043;0.259;0.257;0.257;6.71;6.706;6.541;0.386;0.411;0.443
2.528;3.424;3.255;0.043;0.042;0.045;0.253;0.257;0.251;6.974;6.38;6.513;0.392;0.421;0.44
2.52;3.407;3.26;0.043;0.043;0.043;0.254;0.255;0.254;6.706;6.373;6.419;0.385;0.414;0.439
2.516;3.413;3.255;0.043;0.042;0.044;0.25;0.26;0.252;6.694;6.376;6.392;0.384;0.415;0.439
2.6;3.496;3.341;0.043;0.045;0.043;0.261;0.259;0.254;6.769;6.851;6.67;0.385;0.411;0.44
2.538;3.43;3.266;0.044;0.043;0.043;0.25;0.252;0.252;7.063;6.487;6.513;0.391;0.422;0.441
2.539;3.443;3.269;0.043;0.043;0.043;0.259;0.255;0.251;6.812;6.532;6.485;0.389;0.413;0.441
2.529;3.424;3.261;0.043;0.043;0.043;0.256;0.255;0.249;6.799;6.501;6.449;0.382;0.415;0.454
2.534;3.449;3.291;0.043;0.044;0.046;0.266;0.255;0.253;7.033;6.714;6.654;0.386;0.417;0.443
2.516;3.408;3.266;0.043;0.043;0.042;0.258;0.256;0.252;6.814;6.497;6.433;0.387;0.42;0.462
2.57;3.437;3.259;0.049;0.049;0.05;0.259;0.273;0.268;6.767;6.795;6.471;0.384;0.416;0.439
2.536;3.444;3.29;0.043;0.042;0.044;0.259;0.252;0.25;6.733;6.471;6.434;0.386;0.413;0.439
2.558;3.435;3.267;0.047;0.046;0.047;0.258;0.263;0.261;7.075;6.702;6.735;0.4;0.42;0.444
2.528;3.429;3.259;0.043;0.042;0.043;0.256;0.254;0.254;6.779;6.44;6.441;0.394;0.415;0.438
2.52;3.411;3.26;0.043;0.043;0.043;0.256;0.254;0.252;6.826;6.465;6.478;0.385;0.416;0.439
2.55;3.441;3.29;0.043;0.042;0.043;0.26;0.255;0.251;6.771;6.502;6.439;0.385;0.414;0.439
2.529;3.419;3.256;0.043;0.044;0.045;0.262;0.258;0.255;6.994;6.681;6.624;0.388;0.423;0.441
2.545;3.406;3.262;0.043;0.043;0.043;0.249;0.255;0.25;6.778;6.481;6.452;0.383;0.414;0.44
2.536;3.456;3.285;0.045;0.044;0.043;0.258;0.254;0.255;7.094;6.511;6.507;0.385;0.416;0.44
2.564;3.478;3.319;0.044;0.043;0.044;0.255;0.258;0.257;6.822;6.719;6.461;0.387;0.417;0.443
2.543;3.446;3.283;0.043;0.042;0.044;0.259;0.259;0.254;7.136;6.631;6.768;0.394;0.424;0.449
2.527;3.426;3.265;0.042;0.043;0.042;0.257;0.256;0.256;6.794;6.546;6.54;0.388;0.415;0.452
2.533;3.423;3.264;0.044;0.042;0.043;0.256;0.255;0.255;6.772;6.46;6.485;0.389;0.417;0.44
2.604;3.475;3.319;0.044;0.046;0.044;0.26;0.259;0.257;6.79;6.79;6.595;0.386;0.416;0.442
2.532;3.44;3.265;0.044;0.043;0.042;0.254;0.255;0.253;7.066;6.569;6.652;0.392;0.431;0.465
2.525;3.417;3.341;0.042;0.043;0.042;0.26;0.258;0.255;6.837;6.457;6.451;0.386;0.419;0.442
2.541;3.42;3.282;0.043;0.042;0.044;0.256;0.255;0.254;6.825;6.471;6.514;0.393;0.417;0.447
2.554;3.467;3.314;0.044;0.043;0.045;0.262;0.261;0.256;6.967;6.705;6.724;0.392;0.416;0.44
2.536;3.447;3.286;0.044;0.043;0.043;0.26;0.258;0.254;6.98;6.513;6.681;0.411;0.42;0.444
2.526;3.415;3.295;0.043;0.042;0.043;0.25;0.254;0.251;7.036;6.411;6.483;0.39;0.416;0.449
2.52;3.422;3.298;0.043;0.042;0.043;0.25;0.255;0.253;6.695;6.432;6.418;0.386;0.414;0.439
2.546;3.467;3.279;0.043;0.045;0.045;0.261;0.259;0.25;7.038;6.704;6.695;0.414;0.414;0.45
2.522;3.431;3.262;0.042;0.042;0.045;0.254;0.256;0.264;6.699;6.384;6.39;0.388;0.448;0.458
2.537;3.412;3.265;0.043;0.042;0.043;0.252;0.255;0.251;6.705;6.407;6.382;0.385;0.414;0.441
2.549;3.439;3.294;0.042;0.044;0.045;0.254;0.255;0.253;6.704;6.384;6.389;0.383;0.429;0.44
2.546;3.423;3.271;0.043;0.044;0.045;0.257;0.254;0.255;7.025;6.669;6.645;0.385;0.417;0.455
2.53;3.427;3.256;0.043;0.042;0.043;0.25;0.254;0.252;6.683;6.37;6.369;0.385;0.413;0.438
2.516;3.411;3.261;0.043;0.041;0.043;0.25;0.254;0.252;6.699;6.378;6.434;0.384;0.414;0.441
2.558;3.443;3.371;0.048;0.049;0.044;0.249;0.256;0.25;6.685;6.415;6.387;0.384;0.414;0.44
2.567;3.445;3.267;0.044;0.047;0.044;0.256;0.261;0.254;7.058;6.886;6.654;0.389;0.414;0.458
2.523;3.42;3.374;0.043;0.044;0.043;0.249;0.26;0.251;6.725;6.613;6.385;0.383;0.414;0.44
2.54;3.421;3.264;0.043;0.043;0.043;0.26;0.256;0.251;6.844;6.421;6.398;0.387;0.438;0.442
